id;latitude;longitude
ozan;46.3833;4.91667
cormoranche-sur-saone;46.2333;4.83333
plagne-01;46.1833;5.73333
tossiat;46.1333;5.31667
pouillat;46.3333;5.43333
torcieu;45.9167;5.4
replonges;46.3;4.88333
corcelles;46.0333;5.58333
peron;46.2;5.93333
relevant;46.0833;4.95
chaveyriat;46.1833;5.06667
vaux-en-bugey;45.9167;5.35
maillat;46.1333;5.55
faramans-01;45.9;5.11667
beon-01;45.8333;5.75
saint-bernard-01;45.945;4.73723
rossillon;45.8333;5.6
pont-d-ain;46.05;5.33333
nantua;46.15;5.61667
chavannes-sur-reyssouze;46.4333;5
neuville-les-dames;46.1667;5
flaxieu;45.8167;5.73333
hotonnes;46;5.68333
saint-sorlin-en-bugey;45.8833;5.36667
songieu;45.9667;5.7
virieu-le-petit;45.9;5.71667
saint-denis-en-bugey;45.95;5.33333
charnoz-sur-ain;45.8667;5.21667
chazey-sur-ain;45.9;5.25
marchamp;45.7833;5.55
culoz;45.85;5.78333
mantenay-montlin;46.4167;5.08333
marboz;46.3333;5.25
foissiat;46.3667;5.18333
treffort-cuisiat;46.2714;5.36834
izieu;45.65;5.63333
saint-etienne-du-bois-01;46.2833;5.28333
hauteville-lompnes;45.9667;5.6
saint-trivier-sur-moignans;46.0667;4.9
peyriat;46.15;5.51667
evosges;45.9583;5.5
poncin;46.0833;5.4
crans-01;45.9667;5.21667
montreal-la-cluse;46.1867;5.57084
cleyzieu;45.9;5.43333
lompnieu;45.9667;5.65
villereversure;46.1833;5.38333
saint-martin-du-mont-01;46.1;5.33333
saint-genis-pouilly;46.25;6.01667
bolozon;46.2;5.48333
confrancon;46.2667;5.06667
lochieu;45.9333;5.71667
chanoz-chatenay;46.1833;5.03333
villebois;45.85;5.43333
ceignes;46.1167;5.5
saint-didier-sur-chalaronne;46.1667;4.81667
revonnas;46.1667;5.33333
bourg-saint-christophe;45.8833;5.16667
condeissiat;46.1667;5.08333
pirajoux;46.3833;5.3
chalamont;46;5.16667
plantay;46.0167;5.08333
versailleux;45.9833;5.1
montagnat;46.1667;5.28333
vieu;45.9;5.68333
saint-andre-de-corcy;45.9167;4.95
bressolles-01;45.8667;5.1
peronnas;46.1833;5.2
colomieu;45.7333;5.61667
monthieux;45.95;4.93333
saint-jean-sur-reyssouze;46.4;5.06667
garnerans;46.2;4.83333
montrevel-en-bresse;46.3333;5.13333
conand;45.8833;5.46667
challes-la-montagne;46.1333;5.46667
mogneneins;46.1333;4.81667
thoissey;46.1667;4.8
chaleins;46.0333;4.8
neuville-sur-ain;46.0833;5.36667
thil-01;45.8167;5.01667
jujurieux;46.0333;5.41667
oncieu;45.95;5.46667
lurcy;46.0667;4.76667
balan-01;45.8333;5.1
ambutrix;45.9333;5.33333
sainte-croix-01;45.8942;5.05195
blyes;45.85;5.25
conzieu;45.7333;5.6
nievroz;45.8333;5.06667
nurieux-volognat;46.1856;5.52667
ambleon;45.75;5.6
saint-maurice-de-gourdans;45.8167;5.2
chezery-forens;46.2167;5.88333
sault-brenaz;45.85;5.41667
murs-et-gelignieux;45.6333;5.66667
petit-abergement;46.0333;5.65
cormoz;46.45;5.23333
saint-martin-de-bavel;45.85;5.68333
saint-trivier-de-courtes;46.4667;5.08333
boyeux-saint-jerome;46.0333;5.46667
chateau-gaillard;45.9667;5.3
premeyzel;45.6833;5.65
arandas;45.9;5.48333
chatenay-01;46.0333;5.2
innimond;45.7833;5.56667
boz;46.4;4.9
briord;45.7833;5.46667
reyrieux;45.9333;4.81667
matafelon-granges;46.2667;5.56667
drom;46.2167;5.36667
chatillon-en-michaille;46.1333;5.78333
polliat;46.25;5.13333
vesancy;46.35;6.08333
massieux;45.9167;4.83333
saint-cyr-sur-menthon;46.2667;4.98333
serrieres-sur-ain;46.15;5.45
nivollet-montgriffon;45.9833;5.43333
izernore;46.2167;5.55
saint-nizier-le-desert;46.05;5.15
guereins;46.1;4.78333
illiat;46.1833;4.88333
trancliere;46.1167;5.26667
saint-didier-de-formans;45.95;4.78333
merignat;46.0667;5.43333
saint-eloi-01;45.9333;5.15
chapelle-du-chatelard;46.0667;5.03333
saint-jean-de-niost;45.8333;5.21667
savigneux-01;46;4.85
nattages;45.7333;5.76667
saint-beno台t-01;45.7;5.58333
douvres;45.9833;5.36667
francheleins;46.0667;4.8
dortan;46.3167;5.66667
saint-germain-les-paroisses;45.7667;5.61667
miribel-01;45.8245;4.95306
lancrans;46.1333;5.83333
echenevex;46.3167;6.03333
saint-jean-sur-veyle;46.25;4.91667
billiat;46.0667;5.78333
abergement-de-varey;46;5.41667
villeneuve-01;46.0212;4.83667
villars-les-dombes;46;5.01667
thezillieu;45.8833;5.6
saint-etienne-sur-reyssouze;46.4;5
souclin;45.8667;5.41667
saint-just-01;46.1903;5.28
civrieux;45.9167;4.88333
argis;45.9333;5.48333
talissieu;45.8667;5.71667
birieux;45.95;5.03333
saint-julien-sur-veyle;46.2;4.95
thoiry-01;46.2364;5.97973
laiz;46.25;4.88333
cressin-rochefort;45.7667;5.76667
saint-champ;45.7833;5.73333
saint-georges-sur-renon;46.1;5.03333
lantenay-01;46.05;5.53333
vernoux;46.4833;5.11667
cormaranche-en-bugey;45.95;5.6
sainte-euphemie;45.9667;4.78333
beaupont;46.4;5.26667
brens-01;45.7187;5.69473
ramasse;46.2;5.35
divonne-les-bains;46.3667;6.13333
leaz;46.1;5.88333
villes;46.0833;5.78333
saint-julien-sur-reyssouze;46.4;5.11667
groslee;45.7167;5.56667
vandeins;46.2167;5.08333
verjon;46.35;5.35
saint-andre-sur-vieux-jonc;46.15;5.06667
saint-andre-d-huiriat;46.2167;4.91667
grilly;46.3333;6.11667
cessy;46.3167;6.06667
ordonnaz;45.8333;5.53333
vescours;46.4667;5.03333
meillonnas;46.25;5.35
geovreisset;46.25;5.6
ceyzerieu;45.8333;5.73333
beard-geovreissiat;46.2;5.56667
burbanche;45.85;5.56667
perrex;46.2333;4.98333
villemotier;46.35;5.31667
jasseron;46.2167;5.33333
corveissiat;46.2333;5.48333
journans;46.15;5.33333
sermoyer;46.5;4.98333
charix;46.1833;5.68333
arbignieu;45.7333;5.65
leyssard;46.1667;5.46667
saint-jean-de-thurigneux;45.95;4.88333
frans;45.9833;4.78333
tenay;45.9167;5.5
bage-la-ville;46.3167;4.95
montmerle-sur-saone;46.0833;4.76667
courmangoux;46.3333;5.36667
baneins;46.1167;4.9
lagnieu;45.9;5.35
attignat;46.2833;5.16667
saint-andre-de-bage;46.3;4.91667
pont-de-vaux;46.4333;4.93333
amberieu-en-bugey;45.95;5.35
peyzieux-sur-saone;46.1167;4.81667
crozet-01;46.2806;6.01251
seyssel-01;45.9597;5.83194
beynost;45.8333;5
versonnex-01;46.3023;6.09723
saint-laurent-sur-saone;46.3;4.83333
artemare;45.8667;5.7
montracol;46.1833;5.11667
parves;45.75;5.75
pugieu;45.8167;5.65
virieu-le-grand;45.85;5.65
saint-remy-01;46.1833;5.16667
rance;45.9667;4.86667
grieges;46.25;4.85
grand-corent;46.2;5.43333
outriaz;46.0667;5.55
montagnieu-01;45.8;5.46667
champagne-en-valromey;45.9;5.68333
amberieux-en-dombes;46;4.9
boisse-01;45.85;5.03333
parcieux;45.9167;4.81667
saint-didier-d-aussiat;46.3;5.06667
saint-nizier-le-bouchoux;46.45;5.15
ars-sur-formans;45.9833;4.81667
anglefort;45.9167;5.80833
corlier;46.0333;5.5
ferney-voltaire;46.25;6.11667
saint-maurice-de-remens;45.95;5.28333
chatillon-la-palud;45.9667;5.25
saint-sulpice-01;46.3203;5.04167
saint-bois;45.7;5.63333
virignin;45.7167;5.71667
premillieu;45.8667;5.56667
genouilleux;46.1167;4.78333
reyssouze;46.4333;4.91667
collonges;46.1333;5.9
saint-germain-de-joux;46.1833;5.73333
bregnier-cordon;45.65;5.61667
saint-martin-le-chatel;46.2833;5.11667
marignieu;45.8;5.71667
neyrolles;46.1333;5.63333
sulignat;46.1667;4.96667
beny;46.3333;5.28333
injoux-genissiat;46.05;5.78333
chanay;46;5.78333
chatillon-sur-chalaronne;46.1167;4.96667
farges-01;46.1667;5.91667
saint-alban-01;46.1;5.45
curtafond;46.2667;5.08333
viriat;46.25;5.21667
belleydoux;46.25;5.76667
bage-le-chatel;46.3;4.93333
sainte-olive;46.0167;4.93333
saint-genis-sur-menthon;46.2833;5.01667
domsure;46.4167;5.3
chavannes-sur-suran;46.2667;5.41667
priay;46;5.28333
peyrieu;45.6767;5.67751
lalleyriat;46.15;5.71667
sergy-01;46.25;6
saint-martin-du-frene;46.1333;5.55
saint-maurice-de-beynost;45.8333;4.96667
servas-01;46.1333;5.16667
cuzieu-01;45.8192;5.67445
jayat;46.3667;5.11667
lavours;45.8;5.76667
chevroux;46.3833;4.95
pollieu;45.8;5.75
beligneux;45.8667;5.11667
brenaz;45.95;5.71667
benonces;45.8333;5.48333
saint-jean-le-vieux-01;46.0284;5.38917
beauregard-01;46.002;4.75139
oyonnax;46.25;5.66667
mionnay;45.9;4.93333
germagnat;46.3167;5.45
coligny;46.3833;5.35
simandre-sur-suran;46.2167;5.41667
abergement-clemenciat;46.15;4.91667
lescheroux;46.4;5.15
ornex;46.2833;6.1
dommartin-01;46.3417;4.99167
lompnas;45.8;5.51667
bettant;45.9333;5.36667
armix;45.85;5.58333
feillens;46.3333;4.88333
chavornay;45.8833;5.7
challex;46.1833;5.96667
vongnes;45.8167;5.71667
magnieu;45.7833;5.71667
groissiat;46.2167;5.6
